movieid,Gross,USD,Title,Year,Genre,Budget,Gross Revenue,Additional Data,Copyright,Currency,Unnamed: 6,Profit / Loss,% Profit / Loss 
1693341,"GR: USD 10,777,659 (USA) (27 January 1985)",10777659,A Nightmare on Elm Street (1984),1984,Horror,1800000,10777659,,1984 The Elm Street Venture,USD,,8977659,498.7588333
1693345,"GR: USD 44,053,755 (USA) (7 September 1987)",44053755,A Nightmare on Elm Street 3: Dream Warriors (1987),1987,Horror,4500000,44053755,,The Third Elm Street Venture,USD,,39553755,878.9723333
1693346,"GR: USD 49,336,557 (USA) (11 December 1998)",49336557,A Nightmare on Elm Street 4: The Dream Master (1988),1988,Horror,7000000,49336557,,,USD,,42336557,604.8079571
1693347,"GR: USD 23,060,333 (USA) (23 February 1986)",23060333,A Nightmare on Elm Street Part 2: Freddy's Revenge (1985),1985,Horror,2200000,23060333,"15,671 (Sweden)",The Second Elm Street Venture,USD,,20860333,948.1969545
1693348,"GR: USD 22,168,359 (USA) (29 October 1989)",22168359,A Nightmare on Elm Street: The Dream Child (1989),1989,Horror,8000000,22168359,,,USD,,14168359,177.1044875
1695355,"GR: USD 15,905,912 (USA) (28 June 1987)",15905912,A Room with a View (1985),1985,Drama,3000000,15905912,"152,861 (Sweden)","© Copyright MCMLXXXV A ROOM WITH A VIEW PRODUCTIONS LIMITED. 34, South Molton Street, London, England.",USD,,12905912,430.1970667
1696148,"GR: USD 16,311,763 (USA) (16 May 1999)",16311763,A Simple Plan (1998),1998,Crime,17000000,16311763,"37,837 (Germany) | 24,016 (Netherlands) (31 December 2000) | 23,702 (Netherlands) (31 December 1999) | 69,448 (Spain) (31 March 2003)","Paramount Pictures Corp., 1998",USD,,-688237,-4.048452941
1696168,"GR: USD 8,119,205 (USA) (24 August 1997)",8119205,A Simple Wish (1997),1997,Comedy,28000000,8119205,,"copyright © 1997 Universal City Studios, Inc. (on print)",USD,,-19880795,-71.00283929
1696396,"GR: USD 3,247,524 (USA) (21 September 1997)",3247524,A Smile Like Yours (1997),1997,Comedy,18000000,3247524,928 (Netherlands) (1 January 1998),,USD,,-14752476,-81.9582
1696496,"GR: USD 19,758,558 (USA) (23 December 1984)",19758558,A Soldier's Story (1984),1984,Drama,6000000,19758558,,,USD,,13758558,229.3093
1697037,"GR: USD 8,000,000 (USA)",8000000,A Streetcar Named Desire (1951),1951,Drama,1800000,8000000,,Copyright MCMLI Charles K. Feldman Group Productions (on print); Charles K. Feldman Group Productions; 15 October 1951; LP1240 (in copyright registry),USD,,6200000,344.4444444
1697674,"GR: USD 34,746,109 (USA) (18 August 1996)",34746109,A Thin Line Between Love and Hate (1996),1996,Comedy,8000000,34746109,,,USD,,26746109,334.3263625
1697856,"GR: USD 108,706,165 (USA) (24 November 1996)",108706165,A Time to Kill (1996),1996,Crime,40000000,108706165,"1,247,425 (Germany) (15 December 1996) | 1,057,222 (Germany) (1 December 1996) | 649,435 (Germany) (17 November 1996) | 155,207 (Netherlands) (31 December 1997) | 154,795 (Netherlands) (1 January 1997) | 116,445 (Portugal) (31 October 1996) | 101,543 (Portugal) (24 October 1996) | 67,401 (Portugal) (10 October 1996) | 36,190 (Portugal) (3 October 1996) | 394,681 (Spain)",Monarchy Enterprises B.V.,USD,,68706165,171.7654125
1698492,"GR: USD 21,397,954 (USA) (17 November 1996)",21397954,A Very Brady Sequel (1996),1996,Comedy,15000000,21397954,,TM & Copyright ©MCMXCVI by Paramount Pictures Corporation,USD,,6397954,42.65302667
1698667,"GR: USD 49,667,091 (USA) (11 August 1985)",49667091,A View to a Kill (1985),1985,Action,30000000,49667091,"14,100,000 (USA) | 2,423,306 (France) | 1,553,971 (Spain) | 947,853 (Sweden)",Danjaq S.A.,USD,,19667091,65.55697
1698944,"GR: USD 50,012,507 (USA)",50012507,A Walk in the Clouds (1995),1995,Drama,20000000,50012507,"17,548 (Netherlands) (1 January 1997)",Copyright ©1995 by Twentieth Century Fox Film Corporation All Rights Reserved (on print),USD,,30012507,150.062535
1698972,"GR: USD 4,741,987 (USA) (4 July 1999)",4741987,A Walk on the Moon (1999),1999,Drama,14000000,4741987,,"©1998 Blouseman Productions, Inc. (on print)",USD,,-9258013,-66.12866429
1703907,"GR: USD 50,007,168 (USA) (15 June 1997)",50007168,Absolute Power (1997),1997,Crime,50000000,50007168,"813,293 (France) (24 June 1997) | 298,196 (France) (27 May 1997) | 106,920 (France) (27 May 1997) (opening week) | 16,402 (France) (21 May 1997) (opening day) | 977,659 (France) | 322,270 (France) | 617,293 (Germany) (30 June 1997) | 585,470 (Germany) (23 June 1997) | 533,791 (Germany) (16 June 1997) | 472,436 (Germany) (9 June 1997) | 372,588 (Germany) (2 June 1997) | 171,997 (Germany) (opening week) | 42,828 (Netherlands) (1 January 1998) | 114,159 (Portugal) (26 June 1997) | 104,895 (Portugal) (19 June 1997) | 94,021 (Portugal) (12 June 1997) | 72,665 (Portugal) (5 June 1997) | 47,306 (Portugal) (29 May 1997) (opening week)",(1996) Castle Rock Entertainment,USD,,7168,0.014336
1704569,"GR: USD 72,217,000 (USA)",72217000,Ace Ventura: Pet Detective (1994),1994,Comedy,12000000,72217000,"490,132 (France) (25 April 1995) | 117,711 (Sweden)",© 1994 Morgan Creek Productions Inc.,USD,,60217000,501.8083333
1704571,"GR: USD 108,344,348 (USA)",108344348,Ace Ventura: When Nature Calls (1995),1995,Comedy,30000000,108344348,"540,949 (France) (3 September 1996) | 434,589 (France) (6 August 1996) | 329,421 (Netherlands) (1 January 1997) | 173,029 (Portugal) (18 April 1996)",,USD,,78344348,261.1478267
1705417,"GR: USD 20,257,000 (USA)",20257000,Action Jackson (1988),1988,Action,7000000,20257000,,,USD,,13257000,189.3857143
1707941,"GR: USD 6,302,154 (USA) (16 May 1999)",6302154,Affliction (1997),1997,Drama,6000000,6302154,"5,778 (Netherlands) (31 December 2001)","Largo Entertainment, Inc., 1997 (on print)",USD,,302154,5.0359
1709238,"GR: USD 25,100,000 (USA)",25100000,Against All Odds (1984),1984,Action,13000000,25100000,"165,777 (Sweden)",,USD,,12100000,93.07692308
1711133,"GR: USD 31,053,601 (USA)",31053601,Air America (1990),1990,Action,35000000,31053601,"73,804 (Sweden)",,USD,,-3946399,-11.27542571
1711143,"GR: USD 23,125,940 (USA) (7 December 1997)",23125940,Air Bud (1997),1997,Comedy,3000000,23125940,"70,380 (Netherlands) (31 December 1999) | 70,099 (Netherlands) (31 December 1998)",© Copyright 1997 Buddy Films Inc. All Rights Reserved (on print),USD,,20125940,670.8646667
1711175,"GR: USD 172,650,002 (USA) (8 February 1998)",172650002,Air Force One (1997),1997,Action,85000000,172650002,"862,331 (France) (28 October 1997) | 394,197 (France) (opening week) | 20,824 (France) (opening day) | 2,275,901 (Germany) (1 December 1997) | 2,205,167 (Germany) (24 November 1997) | 2,056,849 (Germany) (17 November 1997) | 1,772,811 (Germany) (10 November 1997) | 1,320,076 (Germany) (3 November 1997) | 602,597 (Germany) (27 October 1997) (opening week) | 342,234 (Netherlands) (31 December 1998) | 335,854 (Netherlands) (1 January 1998)",Copyright © 1997 Beacon Communications Corp.,USD,,87650002,103.1176494
1711384,"GR: USD 83,453,539 (USA) (30 June 2012)",83453539,Airplane! (1980),1980,Comedy,3500000,83453539,"467,615 (Sweden)",Paramount Pictures Corporation,USD,,79953539,2284.386829
1711398,"GR: USD 47,285,152 (USA)",47285152,Airport 1975 (1974),1974,Action,3000000,47285152,"260,926 (Sweden)",© MCMLXXIV BY UNIVERSAL PICTURES. (on print),USD,,44285152,1476.171733
1712152,"GR: USD 114,009 (USA) (2001)",114009,Akira (1988),1988,Animation,11000000,"553,171","135,647 (Spain)",Pioneer Entertainment,USD,,-10446829,-94.97117273
1713183,"GR: USD 217,042,825 (USA) (3 October 1993)",217042825,Aladdin (1992),1992,Adventure,28000000,217042825,"1,386,980 (Argentina) | 6,347,000 (Germany) | 1,047,615 (Sweden)",Walt Disney Company; 25 November 1992; PA583905 (in copyright registry),USD,,189042825,675.1529464
1713499,"GR: USD 11,567,023 (USA) (17 November 1996)",11567023,Alaska (1996),1996,Adventure,23000000,11567023,"246,665 (Germany) (1996) | 5,504 (Spain)",Copyright ©1996 Castle Rock Entertainment,USD,,-11432977,-49.70859565
1713755,"GR: USD 326,308 (USA) (9 February 1997)",326308,Albino Alligator (1996),1996,Crime,5000000,326308,,Motion Picture Corporation of America,USD,,-4673692,-93.47384
1715186,"GR: USD 80,930,630 (USA) (2004)",80930630,Alien (1979),1979,Horror,11000000,80930630,"2,809,875 (France) | 1,385,423 (Spain) (31 August 2002) | 284,649 (Sweden)",Copyright © 1979 by Twentieth Century-Fox Film Corporation All Rights Reserved,USD,,69930630,635.733
1715288,"GR: USD 25,216,243 (USA)",25216243,Alien Nation (1988),1988,Crime,16000000,25216243,"30,666 (Sweden)",Twentieth Century Fox Film Corporation,USD,,9216243,57.60151875
1715380,"GR: USD 47,748,610 (USA) (15 February 1998)",47748610,Alien: Resurrection (1997),1997,Action,75000000,47748610,"2,523,389 (France) (30 December 1997) | 1,811,773 (Germany) (5 January 1998) | 1,696,878 (Germany) (29 December 1997) | 1,538,977 (Germany) (22 December 1997) | 1,398,198 (Germany) (15 December 1997) | 1,062,372 (Germany) (8 December 1997) | 586,143 (Germany) (1 December 1997) (opening week) | 136,371 (Netherlands) (31 December 1998) | 114,220 (Netherlands) (1 January 1998) | 1,568,859 (Spain) (31 August 2002)",Twentieth Century Fox Film Corporation,USD,,-27251390,-36.33518667
1715404,"GR: USD 77,632,096 (USA) (26 October 1986)",77632096,Aliens (1986),1986,Action,18500000,77632096,"1,720,593 (France) (31 August 2002) | 401,077 (France) | 1,718,564 (France) | 982,600 (Spain) (31 August 2002) | 218,833 (Sweden)",Twentieth Century Fox Film Corporation,USD,,59132096,319.6329514
1715607,"GR: USD 36,733,909 (USA)",36733909,Alive (1993),1993,Action,32000000,36733909,,,USD,,4733909,14.79346563
1716019,"GR: USD 27,100,027 (USA)",27100027,All Dogs Go to Heaven (1989),1989,Animation,14000000,27100027,,Copyright © MCMLXXXIX Goldcrest and Sullivan Bluth Limited. All rights reserved.,USD,,13100027,93.57162143
1717144,"GR: USD 142,721 (USA)",142721,All the Vermeers in New York (1990),1990,Comedy,250000,142721,,,USD,,-107279,-42.9116
1718318,"GR: USD 32,522,352 (USA) (25 March 2001)",32522352,Almost Famous (2000),2000,Drama,60000000,32522352,"80,831 (France) (27 March 2001) | 42,946 (Netherlands) (31 December 2002) | 32,908 (Netherlands) (31 December 2001) | 212,680 (Spain) (31 August 2002) | 185,853 (Spain) (30 June 2001)","DreamWorks LLC and Columbia Pictures Industries, Inc.",USD,,-27477648,-45.79608
1720040,"GR: USD 366,401 (USA) (19 May 2002)",366401,Amadeus (1984),1984,Biography,18000000,366401,"1,876,753 (Argentina) (20 December 1994) (re-release) | 1,620,842 (Argentina) | 1,061,779 (Sweden)",© 1984 The Saul Zaentz Company (on print),USD,,-17633599,-97.96443889
1721568,"GR: USD 130,058,047 (USA) (4 June 2000)",130058047,American Beauty (1999),1999,Drama,15000000,130058047,"340,965 (Denmark) | 4,010,034 (Germany) (16 November 2003) | 3,990,820 (Germany) (31 December 2000) | 636,477 (Netherlands) (31 December 2001) | 634,772 (Netherlands) (31 December 2000) | 4,105,424 (Spain) | 625,917 (Switzerland)",1999 Dreamworks LLC (onprint),USD,,115058047,767.0536467
1721919,"GR: USD 21,300,000 (USA) (1974)",21300000,American Graffiti (1973),1973,Comedy,777000,21300000,"1,100,000 (Sweden) | 1,075,976 (Sweden)",COPYRIGHT © MCMLXXIII BY UNIVERSAL PICTURES ALL RIGHTS RESERVED,USD,,20523000,2641.312741
1721967,"GR: USD 6,712,241 (USA) (28 March 1999)",6712241,American History X (1998),1998,Crime,7500000,6712241,"330,652 (Germany) (31 December 1999) | 94,927 (Germany) (7 March 1999) | 46,710 (Netherlands) (31 December 2000) | 46,265 (Netherlands) (31 December 1999)","(1998) New Line Productions, Inc.",USD,,-787759,-10.50345333
1722164,"GR: USD 101,736,215 (USA) (24 October 1999)",101736215,American Pie (1999),1999,Comedy,11000000,101736215,"927,212 (Argentina) (7 March 2000) | 6,140,123 (Germany) (31 December 2000) | 5,801,407 (Germany) | 332,143 (Netherlands) (31 December 2000) | 156,467 (Sweden) (30 September 1999)",,USD,,90736215,824.8746818
1722174,"GR: USD 287,724 (USA) (13 August 2000)",287724,American Pimp (1999),1999,Documentary,650000,287724,,,USD,,-362276,-55.73476923
1722198,"GR: USD 15,070,285 (USA) (30 July 2000)",15070285,American Psycho (2000),2000,Crime,7000000,15070285,"2,740,051 (USA) (31 December 2001) | 832,265 (UK) (31 December 2001) | 91,049 (Belgium) (31 December 2001) | 367,154 (France) (31 December 2001) | 324,717 (Germany) (31 December 2001) | 142,623 (Italy) (31 December 2001) | 64,485 (Netherlands) (31 December 2001) | 63,145 (Netherlands) (31 December 2000) | 690,104 (Spain) (10 August 2002) | 683,906 (Spain) (25 June 2001)","Am Psycho Productions, Inc.",USD,,8070285,115.2897857
1722761,"GR: USD 44,175,394 (USA) (5 April 1998)",44175394,Amistad (1997),1997,Drama,40000000,44175394,"77,408 (Germany) (1 March 1998) (opening week) | 79,121 (Netherlands) (31 December 1999) | 78,908 (Netherlands) (31 December 1998) | 403,392 (Spain) | 90,605 (Switzerland)",copyright © 1997 Dreamworks LLC (on print),USD,,4175394,10.438485
1724037,"GR: USD 43,904 (USA) (8 March 1998)",43904,An Alan Smithee Film: Burn Hollywood Burn (1997),1997,Comedy,10000000,43904,"4,519 (Germany) (14 June 1998) (opening week)",,USD,,-9956096,-99.56096
1724190,"GR: USD 20,445,527 (USA) (27 September 1981)",20445527,An American Werewolf in London (1981),1981,Horror,10000000,20445527,"127,618 (Sweden)","Copyright 1981 American Werewolf, Inc.",USD,,10445527,104.45527
1724193,"GR: USD 26,521,435 (USA) (29 March 1998)",26521435,An American Werewolf in Paris (1997),1997,Comedy,22000000,26521435,"76,478 (Germany) (19 January 1998) (opening week)",© 1997 Stonewood Communications B.V. and Hollywood Pictures Company,USD,,4521435,20.55197727
1724413,"GR: USD 258,195 (USA)",258195,An Awfully Big Adventure (1995),1995,Comedy,4000000,258195,,,USD,,-3741805,-93.545125
1724880,"GR: USD 18,535,191 (USA) (3 October 1999)",18535191,An Ideal Husband (1999),1999,Comedy,14000000,18535191,"20,288 (Netherlands) (31 December 2001) | 20,100 (Netherlands) (31 December 2000)",,USD,,4535191,32.39422143
1725774,"GR: USD 65,557,989 (USA) (1 September 1997)",65557989,Anaconda (1997),1997,Adventure,45000000,65557989,"606,052 (France) (29 July 1997) | 443,422 (France) (opening week) | 747,318 (Germany) (11 August 1997) | 685,329 (Germany) (4 August 1997) | 527,213 (Germany) (28 July 1997) | 291,802 (Germany) (opening week) | 60,141 (Netherlands) (1 January 1998) | 145,918 (Portugal) (4 September 1997) | 124,953 (Portugal) (28 August 1997) | 99,247 (Portugal) (21 August 1997) | 65,388 (Portugal) (14 August 1997) (opening week)","©1997 COLUMBIA PICTURES INDUSTRIES, INC.",USD,,20557989,45.68442
1726761,"GR: USD 106,694,016 (USA) (18 July 1999)",106694016,Analyze This (1999),1999,Comedy,30000000,106694016,"1,148,208 (Germany) (11 July 1999) | 1,119,582 (Germany) (4 July 1999) | 1,080,695 (Germany) (27 June 1999) | 924,112 (Germany) (13 June 1999) | 780,157 (Germany) (6 June 1999) | 553,935 (Germany) (30 May 1999) | 188,486 (Netherlands) (31 December 2000) | 184,592 (Netherlands) (31 December 1999) | 1,216,178 (Spain) (20 December 2002)",,USD,,76694016,255.64672
1726934,"GR: USD 58,297,830 (USA) (5 April 1998)",58297830,Anastasia (1997),1997,Adventure,53000000,58297830,"629,339 (Germany) (27 April 1998) | 159,066 (Germany) (6 April 1998) | 247,227 (Netherlands) (31 December 1998)",,USD,,5297830,9.99590566
1728802,"GR: USD 17,185,632 (USA)",17185632,Angel Heart (1987),1987,Horror,17000000,17185632,"116,973 (Sweden) | 1,327,597 (West Germany) (1987)",,USD,,185632,1.091952941
1729026,"GR: USD 13,038,660 (USA) (21 May 2000)",13038660,Angela's Ashes (1999),1999,Drama,25000000,13038660,"59,280 (Netherlands) (31 December 2001) | 58,176 (Netherlands) (31 December 2000)",,USD,,-11961340,-47.84536
1729818,"GR: USD 201,747 (USA) (23 September 1979)",201747,Animal House (1978),1978,Comedy,3000000,201747,"379,493 (Sweden)","Universal City Studios, Inc.",USD,,-2798253,-93.2751
1730640,"GR: USD 39,251,128 (USA) (9 April 2000)",39251128,Anna and the King (1999),1999,Comedy,75000000,39251128,"1,206,020 (Germany) | 194,414 (Netherlands) (31 December 2001) | 194,185 (Netherlands) (31 December 2000) | 1,547,334 (Spain) (10 August 2002)",,USD,,-35748872,-47.66516267
1730566,"GR: USD 791,830 (USA) (1 June 1997)",791830,Anna Karenina (1997),1997,Drama,35000000,791830,"301,107 (France) (24 June 1997) | 135,123 (France) (opening week)",,USD,,-34208170,-97.73762857
1730975,"GR: USD 38,251,425 (USA) (1977)",38251425,Annie Hall (1977),1977,Comedy,4000000,38251425,"1,344,539 (France) | 200,544 (Hungary) (1980) | 1,915,584 (Spain) | 291,482 (Sweden)","© 1977 by Metro-Goldwyn-Mayer Studios, Inc.",USD,,34251425,856.285625
1731412,"GR: USD 1,025,234 (USA) (11 April 1999)",1025234,Another Day in Paradise (1998),1998,Crime,4500000,1025234,"4,010 (Netherlands) (31 December 1999)","1998 Another Day, Inc.",USD,,-3474766,-77.21702222
1732496,"GR: USD 90,646,554 (USA) (7 February 1999)",90646554,Antz (1998),1998,Adventure,60000000,90646554,"1,096,698 (Germany) (20 December 1998) | 1,036,023 (Germany) (13 December 1998) | 959,281 (Germany) (6 December 1998) | 755,210 (Germany) (22 November 1998) | 555,236 (Germany) (15 November 1998) | 253,563 (Germany) (8 November 1998) (opening week) | 122,084 (Netherlands) (31 December 1999) | 183,312 (Switzerland)",,USD,,30646554,51.07759
1732658,"GR: USD 75,530,832 (USA) (26 March 2000)",75530832,Any Given Sunday (1999),1999,Drama,55000000,75530832,"384,331 (Germany) | 47,839 (Netherlands) (31 December 2001) | 47,808 (Netherlands) (31 December 2000)",,USD,,20530832,37.32878545
1732858,"GR: USD 18,653,615 (USA) (20 February 2000)",18653615,Anywhere But Here (1999),1999,Comedy,23000000,18653615,,Twentieth Century Fox Film Corporation,USD,,-4346385,-18.89732609
1733479,"GR: USD 4,626,290 (USA) (15 November 2001)",4626290,Apocalypse Now (1979),1979,Drama,31500000,4626290,"1,061,543 (Hungary) | 2,327,173 (Spain) (first release) | 320,721 (Sweden) | 3,366,675 (West Germany) (1979)",Omni Zoetrope,USD,,-26873710,-85.31336508
1733566,"GR: USD 1,736,281 (USA) (11 April 2004)",1736281,Apollo 13 (1995),1995,Drama,62000000,1736281,"1,911,470 (France) (2 January 1996)","© 1995 Universal City Studios, Inc.",USD,,-60263719,-97.19954677
1734162,"GR: USD 12,543,892 (USA) (4 May 1986)",12543892,April Fool's Day (1986),1986,Comedy,5000000,12543892,,"Copyright © MCMLXXXVI by YCTM Productions, Inc. All rights reserved (on print)",USD,,7543892,150.87784
1734321,"GR: USD 8,838,938 (USA) (3 January 1999)",8838938,Apt Pupil (1998),1998,Drama,14000000,8838938,"2,840 (Netherlands) (31 December 1999)",Copyright ©1997 Phoenix Pictures Inc. All Rights Reserved (on print),USD,,-5161062,-36.86472857
1734803,"GR: USD 53,133,888 (USA)",53133888,Arachnophobia (1990),1990,Comedy,31000000,53133888,"146,785 (Sweden)","Copyright © MCMXC HOLLYWOOD PICTURES COMPANY and AMBLIN ENTERTAINMENT, INC. All rights reserved.",USD,,22133888,71.39963871
1736211,"GR: USD 24,362,501 (USA) (26 September 1999)",24362501,Arlington Road (1999),1999,Mystery,21500000,24362501,"264,630 (Netherlands) (31 December 1999)",,USD,,2862501,13.31395814
1736268,"GR: USD 201,573,391 (USA) (6 December 1998)",201573391,Armageddon (1998),1998,Action,140000000,201573391,"4,479,748 (France) (13 October 1998) | 3,859,295 (France) (9 September 1998) | 48,733 (France) (opening day) | 5,048,194 (Germany) (13 September 1998) | 4,933,193 (Germany) (6 September 1998) | 4,510,696 (Germany) (23 August 1998) | 4,174,031 (Germany) (16 August 1998) | 2,293,708 (Germany) (26 July 1998) | 1,274,643 (Germany) (19 July 1998) (opening weekend) | 747,213 (Netherlands) (31 December 1998) | 2,473,657 (Spain) | 592,752 (Sweden) (31 December 1998)",Copyright © MCMXCVIII Touchstone Pictures and Jerry Bruckheimer Inc.,USD,,61573391,43.98099357
1736362,"GR: USD 15,945,534 (USA)",15945534,Armed and Dangerous (1986),1986,Action,12000000,15945534,,,USD,,3945534,32.87945
1736592,"GR: USD 11,502,976 (USA)",11502976,Army of Darkness (1992),1992,Comedy,13000000,11502976,"557,418 (Germany) (1993) | 324,300 (Spain)",© 1992 Dino De Laurentiis Communications,USD,,-1497024,-11.51556923
